TaskID,Unnamed: 3,Unnamed: 4
1012303,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1012304,拥有1个5级农田,拥有{0}个{1}级建筑Type为{2}的建筑
1012305,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012401,喂食任意宠物1次,喂养宠物{0}次
1012402,拥有2只20级宠物,拥有{0}个{1}级宠物
10124021,1只宠物采矿达到A,拥有{0}个属性{1}评级达到{2}的宠物
1012403,解锁第3个探险码头,拥有{0}个{1}级建筑Type为{2}的建筑
1012404,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1012405,在矿井，收获1次金币,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012501,基因库累计激活26个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质等级为Lv{2}的能力基因
1012502,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012503,喂食任意宠物1次,喂养宠物{0}次
10125031,1只宠物分析达到A,拥有{0}个属性{1}评级达到{2}的宠物
1012504,拥有5只10级宠物,拥有{0}个{1}级宠物
1012601,进行1次进化,进化{0}次
1012602,拥有1个5级探险码头,拥有{0}个{1}级建筑Type为{2}的建筑
1012603,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1012604,分析1个源石并领取产物,分析{0}个女娲石
1012605,基因库累计激活28个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1012606,生命引擎达到7级,拥有{0}个{1}级建筑Type为{2}的建筑
1012701,进行1次孵化,孵化{0}次
1012702,拥有1个6级伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
1012703,在伐木场收获1次木材,建筑Type为{0}的建筑收获{1}个ID为{2}道具
1012704,拥有1个6级农田,拥有{0}个{1}级建筑Type为{2}的建筑
1012705,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012801,喂食任意宠物1次,喂养宠物{0}次
1012802,拥有5只20级宠物,拥有{0}个{1}级宠物
1012803,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1012804,拥有1个6级矿井,拥有{0}个{1}级建筑Type为{2}的建筑
1012805,在矿井，收获1次金币,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012901,基因库累计激活30个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质等级为Lv{2}的能力基因
1012902,在农田，收获1次食物,建筑Type为{0}的建筑收获{1}个Type为{2}的道具
1012903,喂食任意宠物1次,喂养宠物{0}次
1012904,拥有6只10级宠物,拥有{0}个{1}级宠物
1013001,进行1次进化,进化{0}次
1013002,拥有1个7级探险码头,拥有{0}个{1}级建筑Type为{2}的建筑
1013003,完成1次探险并领取奖励,在节点{0}进行{1}次探险
1013004,分析1个源石并领取产物,分析{0}个女娲石
1013101,基因库累计激活32个<color=#4df7ff>生物基因</color>,拥有{0}个{1}品质的已解锁物种基因
1013102,拥有1个7级伐木场,拥有{0}个{1}级建筑Type为{2}的建筑
1013103,拥有1个7级农田,拥有{0}个{1}级建筑Type为{2}的建筑
1013104,拥有1个7级矿井,拥有{0}个{1}级建筑Type为{2}的建筑
1013105,生命引擎达到8级,拥有{0}个{1}级建筑Type为{2}的建筑
